stime,ltime,dur,mean,sum,min,max,spkts,dpkts,sbytes,dbytes,sttl,dttl,sload,srate,drate,stcpb,dtcpb,tcprtt,synack,ackdat,label
1663634661.884802,1663634666.890106,5.005304,5.005304,5.005304,5.005304,5.005304,2,0,162,0,64,0,129.462677,0.199788,0,0,0,0,0,0,normal
1663634661.885045,1663634666.885257,5.000212,5.000212,5.000212,5.000212,5.000212,4,0,168,0,0,0,201.591446,0.599975,0,0,0,0,0,0,normal
1663634664.248516,1663634669.240455,4.991939,4.991939,4.991939,4.991939,4.991939,4,0,240,0,0,0,288.465057,0.600969,0,0,0,0,0,0,attack
1663634665.868042,1663634665.868042,0.000000,0,0,0,0,1,0,149,0,1,0,0,0,0,0,0,0,0,0,normal
1663634666.887549,1663634666.887947,0.000398,0.000398,0.000398,0.000398,0.000398,1,1,42,60,0,0,0,0,0,0,0,0,0,0,normal
1663634667.883648,1663634668.883599,0.999951,0.999951,0.999951,0.999951,0.999951,2,0,84,0,0,0,336.016449,1.000049,0,0,0,0,0,0,normal
1663634671.824655,1663634671.824664,0.000009,0.000009,0.000009,0.000009,0.000009,1,1,356,342,128,16,0,0,0,0,0,0,0,0,normal
1663634671.832768,1663634672.023616,0.190848,0.190848,0.190848,0.190848,0.190848,5,0,450,0,1,0,15090.543945,20.959089,0,0,0,0,0,0,normal
1663634671.832817,1663634671.832817,0.000000,0,0,0,0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,normal
1663634671.863649,1663634671.863649,0.000000,0,0,0,0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,normal
1663634671.864096,1663634671.864096,0.000000,0,0,0,0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,normal
1663634671.872590,1663634671.872590,0.000000,0,0,0,0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,normal
1663634671.874307,1663634671.881384,0.007077,0.007077,0.007077,0.007077,0.007077,4,0,396,0,1,0,335735.46875,423.908417,0,0,0,0,0,0,normal
1663634671.875322,1663634671.879572,0.004250,0.00425,0.00425,0.00425,0.00425,4,0,476,0,1,0,671999.9375,705.882324,0,0,0,0,0,0,normal
1663634671.885048,1663634671.885048,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634671.885085,1663634671.885085,0.000000,0,0,0,0,0,1,0,81,64,64,0,0,0,0,0,0,0,0,normal
1663634671.885460,1663634671.885538,0.000078,0.000078,0.000078,0.000078,0.000078,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634671.885483,1663634671.885597,0.000114,0.000114,0.000114,0.000114,0.000114,1,1,91,139,64,64,0,0,0,0,0,0,0,0,normal
1663634672.023598,1663634677.013691,4.990093,4.990093,4.990093,4.990093,4.990093,6,0,360,0,0,0,480.952942,1.001985,0,0,0,0,0,0,normal
1663634672.023613,1663634672.023613,0.000000,0,0,0,0,1,0,60,0,1,0,0,0,0,0,0,0,0,0,normal
1663634672.218107,1663634677.223189,5.005082,5.005082,5.005082,5.005082,5.005082,4,0,240,0,0,0,287.707581,0.599391,0,0,0,0,0,0,attack
1663634676.517028,1663634676.517047,0.000019,0.000019,0.000019,0.000019,0.000019,1,1,60,60,0,0,0,0,0,0,0,0,0,0,normal
1663634676.990172,1663634676.990185,0.000013,0.000013,0.000013,0.000013,0.000013,1,1,60,42,0,0,0,0,0,0,0,0,0,0,normal
1663634678.021912,1663634681.026218,3.004306,3.004306,3.004306,3.004306,3.004306,4,0,240,0,0,0,479.312012,0.998567,0,0,0,0,0,0,normal
